	p_pred	n_ume	n_me
44336	3.3084432971008937e-07	0.0	9.0
44338	4.372311934730533e-07	0.0	7.0
145158	7.31280806576251e-07	2.0	13.0
243429	7.885222430559224e-07	0.0	7.0
186914	9.96650328488613e-07	0.0	6.0
73742	1.2501627679739613e-06	0.0	8.0
145140	1.3637187521453598e-06	0.0	13.0
120835	1.3879645166525734e-06	0.0	10.0
186913	1.6055738569775713e-06	0.0	8.0
44339	1.7580329085831181e-06	0.0	3.0
284869	1.7732870674080914e-06	0.0	22.0
281876	2.078394345517154e-06	0.0	21.0
186917	2.2033384539099643e-06	0.0	7.0
369723	2.219943780801259e-06	0.0	8.0
284868	2.3088980469765374e-06	0.0	15.0
3959	2.3662457806494785e-06	0.0	29.0
486326	2.376784777879948e-06	0.0	11.0
35677	2.5527033358230256e-06	0.0	10.0
82952	2.5555775664543035e-06	0.0	13.0
194842	2.6846485070564086e-06	0.0	12.0
317413	2.726254706431064e-06	0.0	13.0
71338	2.8033016405970557e-06	1.0	8.0
32837	2.8558804388012504e-06	0.0	15.0
319605	2.939787918876391e-06	0.0	19.0
420632	2.974372819153359e-06	0.0	5.0
5264	3.0426001558225835e-06	0.0	21.0
57151	3.4893182601081207e-06	0.0	3.0
480159	3.740643478522543e-06	0.0	10.0
71336	4.364194410300115e-06	0.0	9.0
112108	4.460217041923897e-06	0.0	7.0
502369	4.6902700887585524e-06	0.0	19.0
71334	4.811814505956136e-06	0.0	9.0
3958	5.044017143518431e-06	0.0	10.0
112107	5.282554866425926e-06	0.0	11.0
145154	5.424944902188145e-06	0.0	13.0
338057	5.428940767160384e-06	0.0	10.0
41797	7.130488029361004e-06	0.0	8.0
145157	7.199178071459755e-06	0.0	2.0
500345	7.444289167324314e-06	0.0	11.0
145139	7.845027539588045e-06	0.0	8.0
382802	7.96182212070562e-06	0.0	9.0
378603	8.788359991740435e-06	1.0	10.0
480160	9.153927749139257e-06	0.0	14.0
57152	9.576903721608687e-06	0.0	5.0
370827	9.609638254914898e-06	0.0	3.0
35678	1.103107297240058e-05	0.0	14.0
386854	1.1185459698026534e-05	0.0	7.0
207119	1.1416637789807282e-05	0.0	10.0
486325	1.142974360845983e-05	0.0	5.0
120834	1.2208278349135071e-05	0.0	7.0
