	p_pred	n_ume	n_me
243006	0.4699811041355133	0.0	2.0
96855	0.46530959010124207	1.0	1.0
223995	0.4536924958229065	9.0	1.0
462723	0.45251601934432983	0.0	3.0
235760	0.4317767918109894	1.0	5.0
275350	0.4296755790710449	5.0	8.0
299766	0.42410746216773987	2.0	2.0
308739	0.4240843951702118	2.0	7.0
144527	0.42327040433883667	0.0	10.0
414108	0.4229094982147217	8.0	7.0
361673	0.41992777585983276	4.0	2.0
377864	0.41672319173812866	1.0	0.0
238503	0.4126969873905182	1.0	6.0
92967	0.4098360538482666	4.0	4.0
413794	0.40613603591918945	8.0	12.0
406381	0.40564092993736267	2.0	20.0
228412	0.4042271077632904	9.0	5.0
274128	0.4033195674419403	3.0	4.0
351147	0.400420218706131	4.0	12.0
158779	0.4002765715122223	9.0	10.0
448668	0.39983126521110535	0.0	1.0
438803	0.39739781618118286	5.0	11.0
299742	0.3963544964790344	10.0	6.0
14063	0.3958798348903656	2.0	3.0
386900	0.3951990008354187	1.0	8.0
53683	0.39470401406288147	5.0	7.0
90936	0.39449286460876465	0.0	6.0
414109	0.392772912979126	1.0	2.0
196591	0.39272409677505493	3.0	4.0
135607	0.3926420211791992	0.0	5.0
288554	0.3909153938293457	0.0	1.0
184405	0.3898182213306427	5.0	7.0
383256	0.3894161581993103	2.0	1.0
130448	0.38929253816604614	4.0	2.0
127004	0.3886341154575348	5.0	3.0
14810	0.3873099982738495	0.0	14.0
225878	0.3872186243534088	1.0	7.0
342284	0.3864472210407257	1.0	4.0
481730	0.38630056381225586	0.0	10.0
490040	0.38625383377075195	6.0	0.0
29507	0.38597187399864197	5.0	2.0
221567	0.38550516963005066	0.0	8.0
400339	0.3845968544483185	7.0	3.0
194914	0.3843473196029663	0.0	6.0
267376	0.38373878598213196	5.0	2.0
347749	0.3819645643234253	2.0	4.0
217424	0.38153547048568726	7.0	4.0
238280	0.3808765411376953	0.0	2.0
350268	0.3804210424423218	5.0	8.0
7926	0.3804072439670563	13.0	9.0
