	p_pred	n_ume	n_me
239826	0.34165364503860474	2.0	14.0
223995	0.32033106684684753	10.0	7.0
92967	0.31012895703315735	6.0	12.0
402158	0.2918958365917206	0.0	30.0
217749	0.28757545351982117	2.0	11.0
299766	0.28238049149513245	7.0	16.0
376758	0.27751490473747253	0.0	9.0
478690	0.27410441637039185	0.0	12.0
217424	0.27211999893188477	10.0	5.0
462723	0.26147767901420593	0.0	8.0
196591	0.2539440989494324	3.0	9.0
96855	0.2504982054233551	1.0	3.0
14063	0.2475210726261139	2.0	21.0
292495	0.246723935008049	4.0	19.0
361673	0.2465798258781433	13.0	7.0
465405	0.24566017091274261	1.0	21.0
486488	0.24537478387355804	3.0	8.0
291256	0.2451106756925583	8.0	14.0
308739	0.24344216287136078	1.0	16.0
191030	0.24285392463207245	1.0	21.0
275548	0.24260962009429932	1.0	20.0
106897	0.24223357439041138	1.0	10.0
141242	0.24201014637947083	0.0	20.0
470995	0.24082602560520172	2.0	6.0
75577	0.24017874896526337	0.0	26.0
321329	0.23898765444755554	1.0	16.0
213089	0.23862288892269135	7.0	12.0
299742	0.23706720769405365	3.0	16.0
350268	0.23130372166633606	4.0	10.0
31501	0.23059670627117157	2.0	8.0
215282	0.2293882519006729	1.0	10.0
439796	0.22912001609802246	9.0	9.0
656	0.2286963015794754	4.0	34.0
292558	0.22798141837120056	3.0	18.0
430418	0.22761601209640503	0.0	16.0
22518	0.2263375222682953	3.0	10.0
121119	0.22608931362628937	0.0	18.0
221567	0.22607320547103882	0.0	16.0
259214	0.22460654377937317	5.0	12.0
170546	0.22397850453853607	10.0	12.0
267376	0.2230674773454666	8.0	7.0
232849	0.22275285422801971	0.0	8.0
147697	0.2227281779050827	1.0	13.0
191237	0.22257199883460999	0.0	15.0
243006	0.2224801778793335	0.0	7.0
288554	0.22131703794002533	0.0	1.0
62831	0.2212190330028534	0.0	17.0
334601	0.22011569142341614	0.0	13.0
101238	0.2199174165725708	6.0	5.0
386900	0.219672292470932	2.0	14.0
